"Variabl deselerasyonda FKH, $30$ saniyede en düşük noktasına kaç atımlık düşüşle ulaşır?",$15$ atım.
Uteroplasental yetmezliğe işaret eden ve kontraksiyonun doruk noktasından sonra başlayan deselerasyon türü hangisidir?,Geç deselerasyon.
Uzamış deselerasyon tanısı için FKH düşüşünün en az ne kadar sürmesi gerekir?,$2$ dakika.
Uzamış deselerasyon kaçıncı dakikadan sonra bazal kalp hızına dönmezse fetal taşikardi/bradikardi olarak değerlendirilir?,$10$ dakika.
"FKH'nda $5-15$ atımlık düzenli dalga görünümü oluşturan, $3-5$ dakika frekansındaki patern nedir?",Sinusoidal patern.
EFM yorumunda riskli bir durum tespit edildiğinde ebelerin uygulayacağı ilk girişimlerden biri nedir?,Gebeye sol yan ya da semi-fowler pozisyonu vermek.
Fetal distres şüphesinde uterotonik (oksitosin) ajan uygulanıyorsa izlenmesi gereken yol nedir?,Uygulamanın durdurulması ya da azaltılması.
Kategori 1 (Normal) trase kriterlerinde variabilite durumu nasıl olmalıdır?,Normal.
Bazal FKH'nın $110-160$ atım/dk olması ve erken deselerasyon varlığı hangi EFM kategorisine girer?,Kategori 1.
Fetal stimülasyon sonrası akselerasyon görülmemesi ve azalmış variabilite hangi kategoride değerlendirilir?,Kategori 2 (Şüpheli/Belirsiz).
Kategori 3 (Anormal) trasenin temel variabilite özelliği nedir?,Variabilite yokluğu.
Tekrarlayan variabl deselerasyonlar ve variabilite yokluğu birlikte görüldüğünde hangi kategori tanısı konur?,Kategori 3.
İntrauterin resüsitasyon yöntemlerinin temel amacı nedir?,"Hipoksik serebral palsi, iskemik ensefalopati ve mortaliteyi önlemek."
Fetal iyilik halini doğrulamak için hekim tarafından uygulanan akselerasyon oluşturma testlerinden biri nedir?,Digital baş stimülasyonu (veya vibroakustik stimülasyon).
Kategori 3 traselerde uteroplasental perfüzyonu artırma çabalarına rağmen düzelme olmazsa ne yapılmalıdır?,Acil doğum (sezaryen) hazırlığına başlanmalıdır.
Mekonyumlu amniyotik mayi varlığı fetüste hangi riskli durumun işareti olabilir?,Fetal distres.
Partogramda mekonyumlu amniyotik mayi şiddetini göstermek için kullanılan derecelendirme sembolleri nelerdir?,"$+, ++, +++$."
FKH deselerasyonlarının partogram kayıtlarında 'Geç' olduğunu belirtmek için hangi harf kullanılır?,G.
Partogramda 'Kaput Suksadenum' ve 'Moulding' için hangi skor ebeyi hekimi bilgilendirmeye yöneltmelidir?,$+++$ (Üç artı).
Bazal fetal kalp hızının hangi değerlerin dışında olması partogramda hekime bildirim kriteridir?,$< 110$ veya $\ge 160$ atım/dakika.
Amniyotik mayinin hangi özellikleri fetüs izleminde hekime haber verilmesini gerektirir?,Kanlı veya mekonyumlu olması.
Fetal pozisyonun hangi durumlarda olması partogram izleminde hekim bilgilendirme kriteridir?,Oksiput posterior veya oksiput transvers.
Amniyotik sıvıdaki mekonyum varlığı yenidoğanda hangi ciddi komplikasyona yol açabilir?,Mekonyum aspirasyon sendromu.
Düşük riskli gebelerde doğum salonuna ilk kabulde fetal kalp hızı paternini değerlendirmek için ne yapılmalıdır?,$20$ dakikalık EFM trasesi yazdırılmalıdır.
EFM trasesinde bazal nabzın $100$ atım/dakika altına inmesi ve variabilite kaybı ebeyi hangi acil duruma hazırlamalıdır?,Acil müdahale ve hekim bilgilendirme.
Vajinal muayenede kordon nabzı hissedilmesi hangi obstetrik acil durumu gösterir?,Kordon sarkması (prolapsusu).
Kordon sarkması şüphesinde fetal kalp hızı paterninde genellikle hangi değişiklik görülür?,Ani şiddetli bradikardi veya tekrarlayan şiddetli değişken yavaşlamalar.
Fetal distres tanısı konulan gebede perinatal mortaliteyi önlemek için sezaryen en geç kaç dakika içinde yapılmalıdır?,$30$ dakika.
Doğumun ikinci evresinde fetal baş perineyi kabartmaya başladığında fetal kalp sesleri ne zaman dinlenmelidir?,Kontraksiyonlardan hemen sonra.
Makat prezentasyonda fetal kalp sesleri genellikle annenin karnında nerede en iyi duyulur?,Göbek (umbilikus) seviyesinin üzerinde.
Amniyotomi (zarların yapay rüptürü) sonrası fetal kalp hızı neden tekrar değerlendirilmelidir?,Kordon basısı veya prolapsusu riskini ekarte etmek için.
Yenidoğan doğduktan sonra Apgar skoru değerlendirmesi hangi dakikalarda yapılmalıdır?,$1.$ ve $5.$ dakikalarda.
Trasede değişken (variabl) deselerasyonlar sürekli tekrarlıyor ve tedaviye yanıt vermiyorsa fetüste hangi durum gelişebilir?,Hipoksi.
EFM'de trase üzerine yazılması zorunlu olan temel bilgiler nelerdir?,"Gebenin adı soyadı, tarih ve saat."
Aralıklı oskültasyonda doppler cihazı kullanılırken fetal kalp seslerini anne nabzından ayırt etmenin yolu nedir?,Aynı anda anne radyal nabzını palpe etmek.
Uterus taşisistolü tanımı için $10$ dakikalık sürede kaçtan fazla kasılma izlenmelidir?,$5$ kasılma.
Kategori 2 trase yönetiminde akselerasyon oluşmaması durumunda ebe neye hazırlık yapmalıdır?,Doğum (müdahaleli veya sezaryen) hazırlığı.
Variabilite yokluğu ile birlikte seyreden sinusoidal patern hangi riskli duruma işaret eder?,Ciddi fetal anemi veya asidemi.
Doğumun birinci evresinde fetal baş basısına bağlı görülen erken deselerasyonlar genellikle hangi fazda ortaya çıkar?,Aktif faz.
EFM probunun fetüsün sırtına yerleştirilmesinin teknik nedeni nedir?,Ses iletiminin en iyi fetal sırt uterus duvarına yakınken gerçekleşmesi.
Uzamış deselerasyon sırasında ebenin yapması gereken öncelikli konservatif girişim nedir?,Gebeye sol yan pozisyon vermek.
Amniyotik sıvı 'B' harfi ile partograma kaydedilmişse bu sıvının özelliğini nasıl tanımlar?,Berrak.
Partogramda 'S' harfi amniyotik membranların hangi durumunu temsil eder?,Sağlam.
Mekonyumun fetal tehlike işareti olabileceğini gösteren temel klinik bulgu nedir?,Fetal kalp atış hızındaki anormallikler.
İntrauterin resüsitasyonda oksijen maskesi ile kaç $L/dakika$ akım önerilir?,$10-15$ $L/dakika$ (Lohusa acil yönetimi referans alınmıştır).
Kategori 2 traseler değerlendirilirken sadece traseye mi bakılmalıdır?,"Hayır, gebe bulgularıyla birlikte bütünsel ele alınmalıdır."
FKH'nın bazal düzeyde amplitüd değişikliğinin hiç olmaması ($0$ atım) hangi terimle ifade edilir?,Variabilite yokluğu (Absent variability).
Fetüs izlemi sırasında fetal hareketlerde belirgin azalma saptanması neyin belirtisi olabilir?,Fetal distres.
"Ebe, aralıklı oskültasyon sonucunda FKH'nın normal olduğunu saptarsa bu bulguyu nereye kaydetmelidir?",Partograma.
Rejyonel anestezi uygulanması neden EFM endikasyonu olarak kabul edilir?,Maternal hipotansiyona bağlı fetal hipoksi riski nedeniyle.
